Day_of_Week,Weekend_Day,Month,Season,PM2.5 µg/m³,Over_PM25_Limit,NO µg/m³,NO2 µg/m³,CO mg/m³,O µg/m³,Mean_Temperature_°C,Humidity_Level_%,Mean_Windspeed_km/h,ATM_Pressure,ATM_Phenom_Fog,ATM_Phenom_Snow,ATM_Phenom_Rain,ATM_Phenom_Sultriness
0,0,1,1,23.0,0,167.8,71.3,1.3,24.5,6.0,49.0,6.0,1028.0,0,0,0,0
1,0,1,1,45.0,1,143.2,67.9,1.3,18.9,3.0,75.0,7.0,1024.0,0,0,0,0
2,0,1,1,75.0,1,168.8,71.2,1.6,14.2,5.0,86.0,5.0,1030.0,0,0,0,0
3,0,1,1,61.0,1,170.2,71.6,1.5,21.0,6.0,81.0,7.0,1032.0,0,0,0,0
4,0,1,1,66.0,1,248.5,82.5,1.7,26.0,4.0,87.0,5.0,1030.0,0,0,0,0
5,1,1,1,41.0,1,97.0,55.0,1.2,27.9,10.0,74.0,10.0,1019.0,0,0,0,0
6,1,1,1,60.0,1,74.0,44.0,1.1,43.7,7.0,65.0,15.0,1017.0,1,0,0,0
0,0,1,1,22.0,0,96.9,52.0,1.5,34.2,8.0,50.0,7.0,1027.0,0,0,0,0
4,0,1,1,61.0,1,211.1,74.7,1.5,24.7,6.0,98.0,6.0,1016.0,0,0,1,0
5,1,1,1,25.0,1,123.5,66.0,1.3,24.7,8.0,93.0,7.0,1011.0,0,0,1,0
6,1,1,1,27.0,1,132.7,73.1,1.4,25.0,5.0,92.0,5.0,1016.0,1,0,0,1
0,0,1,1,42.0,1,294.5,87.9,1.9,22.9,3.0,94.0,5.0,1014.0,1,0,0,1
2,0,1,1,33.0,1,198.0,83.4,1.6,20.4,4.0,99.0,7.0,1011.0,1,0,1,0
3,0,1,1,26.0,1,174.7,72.6,1.6,17.0,4.0,98.0,8.0,1012.0,1,0,1,0
4,0,1,1,34.0,1,234.5,82.5,1.8,21.5,5.0,93.0,8.0,1010.0,1,0,0,0
5,1,1,1,47.0,1,283.2,91.7,2.0,28.2,4.0,88.0,6.0,1011.0,1,0,0,0
6,1,1,1,8.0,0,134.6,71.0,1.3,29.0,5.0,62.0,7.0,1017.0,1,0,0,0
0,0,1,1,20.0,0,126.8,72.8,1.4,27.5,5.0,63.0,6.0,1023.0,0,0,0,0
1,0,1,1,57.0,1,317.0,107.1,2.0,27.7,2.0,89.0,4.0,1017.0,1,0,0,0
2,0,1,1,42.0,1,243.5,92.6,1.9,23.9,2.0,76.0,7.0,1016.0,0,0,0,0
3,0,1,1,49.0,1,281.8,97.8,1.9,27.8,2.0,81.0,6.0,1000.0,0,1,1,0
4,0,1,1,31.0,1,155.3,79.5,1.6,23.3,3.0,79.0,11.0,980.0,0,1,1,0
5,1,1,1,31.0,1,191.4,84.4,1.5,25.8,2.0,78.0,7.0,986.0,0,0,0,0
6,1,2,1,43.0,1,182.9,81.0,1.7,29.9,3.0,74.0,8.0,991.0,0,0,0,0
0,0,2,1,29.0,1,236.2,94.2,1.9,23.1,3.0,66.0,7.0,1000.0,0,0,0,0
1,0,2,1,48.0,1,198.8,85.1,1.7,23.0,3.0,76.0,7.0,1002.0,0,1,0,0
2,0,2,1,37.0,1,208.0,88.9,1.8,21.8,5.0,67.0,6.0,1003.0,0,0,1,0
3,0,2,1,11.0,0,135.7,71.0,1.6,22.9,2.0,92.0,6.0,1004.0,0,1,1,0
4,0,2,1,17.0,0,214.5,84.4,1.7,17.1,2.0,100.0,4.0,1008.0,0,1,1,1
5,1,2,1,20.0,0,101.5,65.2,1.6,34.3,2.0,94.0,6.0,1020.0,0,1,1,0
6,1,2,1,31.0,1,105.9,64.5,1.6,32.3,1.0,97.0,7.0,1014.0,1,0,0,0
0,0,2,1,44.0,1,157.6,85.0,1.8,31.2,3.0,77.0,7.0,1021.0,1,0,0,0
1,0,2,1,76.0,1,227.3,106.2,2.0,28.3,3.0,81.0,5.0,1023.0,0,0,0,0
3,0,2,1,113.0,1,338.5,116.0,2.4,36.1,3.0,89.0,7.0,1025.0,1,0,0,0
4,0,2,1,113.0,1,251.8,106.4,1.4,22.5,5.0,91.0,5.0,1024.0,0,0,0,1
5,1,2,1,47.0,1,123.5,71.4,0.9,20.5,4.0,100.0,7.0,1017.0,0,0,1,0
6,1,2,1,16.0,0,123.3,67.8,1.0,13.5,4.0,100.0,6.0,1014.0,0,0,1,0
0,0,2,1,18.0,0,212.7,85.5,1.3,16.4,7.0,90.0,7.0,1020.0,0,0,0,0
1,0,2,1,40.0,1,162.6,82.1,1.2,31.2,9.0,74.0,6.0,1028.0,0,0,0,0
2,0,2,1,44.0,1,114.4,74.8,0.9,37.7,6.0,76.0,6.0,1036.0,0,0,0,0
3,0,2,1,66.0,1,160.5,90.7,1.2,29.3,5.0,84.0,5.0,1032.0,1,0,0,0
4,0,2,1,63.0,1,187.8,88.4,1.3,42.5,6.0,82.0,5.0,1024.0,1,0,0,0
5,1,2,1,52.0,1,82.1,59.5,0.9,38.7,6.0,95.0,10.0,1009.0,0,0,1,0
6,1,2,1,13.0,0,79.3,54.0,0.9,44.6,7.0,93.0,10.0,1002.0,1,0,1,0
0,0,2,1,34.0,1,225.5,94.3,1.5,17.4,6.0,87.0,5.0,1005.0,1,0,0,0
1,0,2,1,18.0,0,198.6,88.5,1.2,21.5,7.0,81.0,8.0,1004.0,0,0,1,0
2,0,2,1,9.0,0,113.1,66.0,0.9,33.7,9.0,57.0,8.0,1011.0,0,0,0,0
3,0,2,1,18.0,0,146.5,79.7,1.0,21.3,7.0,70.0,7.0,1017.0,0,0,0,0
4,0,2,1,37.0,1,184.9,88.8,1.3,16.1,8.0,71.0,6.0,1013.0,0,0,0,0
5,1,2,1,47.0,1,172.2,83.5,1.2,22.2,8.0,76.0,5.0,1016.0,0,0,0,0
6,1,3,2,45.0,1,207.2,85.1,1.5,37.1,8.0,77.0,7.0,1016.0,1,0,0,0
0,0,3,2,31.0,1,131.0,78.6,1.2,28.9,9.0,89.0,8.0,1012.0,0,0,1,0
1,0,3,2,26.0,1,130.4,72.1,1.1,31.8,10.0,69.0,10.0,1020.0,0,0,0,0
2,0,3,2,43.0,1,147.8,70.1,1.3,29.1,8.0,89.0,7.0,1020.0,1,0,1,0
3,0,3,2,10.0,0,81.0,48.9,0.9,46.8,9.0,51.0,17.0,1022.0,1,0,0,0
4,0,3,2,14.0,0,115.7,72.3,1.0,25.9,7.0,47.0,7.0,1029.0,0,0,0,0
5,1,3,2,19.0,0,92.9,61.4,1.0,37.3,7.0,51.0,8.0,1032.0,0,0,0,0
6,1,3,2,38.0,1,102.1,67.8,1.1,41.4,7.0,62.0,6.0,1027.0,0,0,0,0
0,0,3,2,38.0,1,106.2,70.6,1.1,35.5,7.0,64.0,7.0,1026.0,0,0,0,0
1,0,3,2,58.0,1,147.1,86.5,1.3,27.4,9.0,65.0,6.0,1024.0,0,0,0,0
2,0,3,2,75.0,1,161.4,94.3,1.5,35.4,12.0,62.0,8.0,1019.0,0,0,0,0
3,0,3,2,31.0,1,87.9,59.4,1.1,47.4,10.0,52.0,7.0,1021.0,0,0,0,0
4,0,3,2,36.0,1,129.5,77.5,1.2,35.0,10.0,52.0,7.0,1018.0,0,0,0,0
5,1,3,2,31.0,1,70.6,49.3,1.0,51.6,9.0,53.0,8.0,1020.0,0,0,0,0
6,1,3,2,32.0,1,51.0,36.4,1.0,63.4,10.0,59.0,17.0,1024.0,0,0,1,0
0,0,3,2,29.0,1,97.5,60.3,1.2,35.5,8.0,88.0,9.0,1026.0,0,0,1,0
1,0,3,2,28.0,1,136.8,79.1,1.4,17.3,10.0,88.0,5.0,1027.0,0,0,1,0
2,0,3,2,44.0,1,153.0,76.5,1.5,25.7,10.0,83.0,6.0,1024.0,1,0,0,0
3,0,3,2,65.0,1,114.2,74.2,1.4,38.0,11.0,74.0,6.0,1022.0,1,0,0,0
4,0,3,2,41.0,1,98.4,67.7,1.2,49.7,12.0,61.0,6.0,1023.0,0,0,0,0
5,1,3,2,43.0,1,72.6,52.4,1.1,57.6,11.0,66.0,7.0,1018.0,0,0,1,0
6,1,3,2,30.0,1,65.7,43.4,1.1,48.7,9.0,91.0,9.0,1016.0,0,0,1,0
2,0,3,2,33.0,1,104.5,63.8,1.3,31.3,10.0,93.0,9.0,1004.0,0,0,1,0
3,0,3,2,24.0,0,97.2,56.3,1.3,26.6,12.0,92.0,7.0,1005.0,0,0,1,0
4,0,3,2,19.0,0,89.9,55.2,1.2,36.8,14.0,48.0,16.0,1009.0,1,0,0,0
6,1,3,2,28.0,1,77.5,58.2,1.2,47.4,13.0,54.0,6.0,1011.0,0,0,0,0
0,0,3,2,9.0,0,83.8,50.2,1.2,47.0,15.0,57.0,11.0,1005.0,0,0,0,0
1,0,3,2,16.0,0,85.8,55.6,1.3,47.5,17.0,46.0,13.0,1007.0,0,0,0,0
3,0,4,2,11.0,0,78.6,51.5,1.1,46.7,14.0,30.0,11.0,1014.0,0,0,0,0
4,0,4,2,19.0,0,62.5,43.8,1.1,54.8,13.0,50.0,13.0,1016.0,0,0,0,0
5,1,4,2,14.0,0,46.4,32.7,1.0,66.9,10.0,59.0,11.0,1011.0,0,0,1,0
6,1,4,2,15.0,0,41.2,29.5,1.0,60.0,9.0,79.0,10.0,1012.0,0,0,1,0
0,0,4,2,17.0,0,45.8,32.8,1.0,62.5,9.0,56.0,10.0,1020.0,1,0,1,0
1,0,4,2,14.0,0,82.6,54.6,1.2,50.6,11.0,29.0,11.0,1028.0,0,0,0,0
2,0,4,2,31.0,1,116.1,72.8,1.4,34.9,12.0,40.0,7.0,1027.0,0,0,0,0
3,0,4,2,47.0,1,111.7,72.0,1.4,40.6,14.0,40.0,7.0,1028.0,0,0,0,0
4,0,4,2,44.0,1,92.9,67.1,1.4,58.3,15.0,47.0,6.0,1026.0,0,0,0,0
5,1,4,2,22.0,0,69.2,51.6,1.3,72.3,15.0,59.0,10.0,1025.0,0,0,0,0
6,1,4,2,28.0,1,53.3,44.3,1.2,85.0,16.0,57.0,5.0,1028.0,0,0,0,0
0,0,4,2,39.0,1,97.3,70.1,1.5,48.5,19.0,55.0,9.0,1026.0,1,0,0,0
1,0,4,2,30.0,1,113.0,73.9,1.5,51.3,19.0,42.0,8.0,1024.0,0,0,0,0
2,0,4,2,38.0,1,96.8,70.5,1.4,60.1,18.0,47.0,6.0,1022.0,0,0,0,0
3,0,4,2,25.0,1,68.6,53.8,1.4,66.6,17.0,51.0,7.0,1018.0,0,0,0,0
4,0,4,2,17.0,0,77.5,56.0,1.3,49.0,14.0,83.0,6.0,1015.0,0,0,1,0
5,1,4,2,25.0,1,67.2,44.5,1.3,43.9,14.0,85.0,11.0,1013.0,1,0,1,0
6,1,4,2,14.0,0,43.7,30.5,1.2,70.1,11.0,64.0,10.0,1021.0,0,0,0,0
0,0,4,2,32.0,1,88.8,63.4,1.4,44.5,13.0,61.0,7.0,1020.0,1,0,0,0
1,0,4,2,29.0,1,112.1,76.9,1.6,35.5,17.0,52.0,6.0,1022.0,0,0,0,0
2,0,4,2,25.0,1,91.0,67.4,1.5,61.3,18.0,51.0,9.0,1020.0,0,0,0,0
3,0,4,2,20.0,0,55.8,41.1,1.4,82.9,18.0,47.0,12.0,1014.0,0,0,0,0
4,0,4,2,21.0,0,62.8,47.3,1.4,84.2,18.0,52.0,9.0,1015.0,0,0,0,0
5,1,4,2,28.0,1,49.1,37.3,1.3,72.0,15.0,74.0,9.0,1016.0,0,0,0,0
6,1,4,2,32.0,1,53.4,40.8,1.4,47.0,16.0,80.0,5.0,1013.0,0,0,1,0
0,0,4,2,16.0,0,78.2,48.9,1.4,32.1,14.0,99.0,14.0,1005.0,0,0,1,0
1,0,4,2,11.0,0,86.5,45.9,1.3,34.3,17.0,70.0,12.0,1005.0,0,0,1,0
2,0,4,2,21.0,0,89.1,51.9,0.7,39.2,15.0,69.0,10.0,1016.0,0,0,1,0
3,0,4,2,21.0,0,75.3,48.3,0.7,51.8,16.0,77.0,7.0,1016.0,0,0,1,0
4,0,5,2,15.0,0,69.1,45.6,0.6,54.1,14.0,87.0,6.0,1011.0,0,0,1,0
5,1,5,2,16.0,0,51.1,35.5,0.7,48.5,18.0,80.0,7.0,1009.0,1,0,1,0
6,1,5,2,16.0,0,54.4,37.5,0.7,46.9,18.0,83.0,5.0,1013.0,0,0,1,0
0,0,5,2,15.0,0,90.3,61.1,0.9,24.9,19.0,76.0,5.0,1014.0,0,0,1,0
1,0,5,2,38.0,1,87.2,57.0,0.9,39.7,20.0,81.0,6.0,1014.0,0,0,0,0
2,0,5,2,36.0,1,94.0,64.5,1.0,41.1,21.0,76.0,7.0,1012.0,0,0,1,0
3,0,5,2,25.0,1,76.4,50.1,0.8,60.2,20.0,72.0,7.0,1015.0,1,0,0,0
4,0,5,2,24.0,0,92.0,65.9,0.9,50.7,20.0,72.0,8.0,1015.0,0,0,1,0
5,1,5,2,14.0,0,67.7,48.4,0.7,39.1,20.0,64.0,7.0,1016.0,0,0,0,0
6,1,5,2,10.0,0,56.1,44.6,0.6,70.0,22.0,46.0,7.0,1022.0,0,0,0,0
0,0,5,2,22.0,0,93.8,67.7,0.8,61.5,21.0,54.0,7.0,1023.0,0,0,0,0
1,0,5,2,20.0,0,73.4,54.8,0.8,79.6,22.0,55.0,6.0,1023.0,0,0,0,0
2,0,5,2,22.0,0,73.6,52.4,0.9,81.6,23.0,53.0,7.0,1018.0,0,0,0,0
3,0,5,2,18.0,0,54.9,39.4,0.8,78.8,23.0,58.0,9.0,1008.0,0,0,0,0
4,0,5,2,16.0,0,60.1,39.5,0.8,70.8,19.0,73.0,21.0,1005.0,0,0,1,0
5,1,5,2,8.0,0,45.7,32.2,0.7,63.7,19.0,76.0,8.0,1017.0,0,0,1,0
6,1,5,2,13.0,0,42.0,32.2,0.7,79.5,22.0,72.0,6.0,1018.0,0,0,1,0
0,0,5,2,19.0,0,73.0,50.7,0.8,72.5,22.0,62.0,9.0,1013.0,0,0,0,0
1,0,5,2,16.0,0,56.7,42.5,0.8,77.4,21.0,64.0,7.0,1007.0,0,0,1,0
2,0,5,2,8.0,0,87.9,51.0,1.0,47.8,17.0,81.0,11.0,1007.0,0,0,1,0
3,0,5,2,5.0,0,87.5,52.3,0.9,50.5,14.0,70.0,9.0,1014.0,0,0,1,0
4,0,5,2,15.0,0,62.8,44.9,0.8,56.0,15.0,73.0,9.0,1015.0,0,0,0,0
5,1,5,2,10.0,0,64.6,44.9,0.7,47.1,16.0,76.0,9.0,1012.0,0,0,1,0
6,1,5,2,6.0,0,43.0,31.5,0.7,71.3,18.0,66.0,7.0,1014.0,1,0,1,0
0,0,5,2,14.0,0,66.2,49.2,0.8,63.4,20.0,60.0,8.0,1011.0,0,0,1,0
1,0,5,2,15.0,0,68.4,45.1,0.8,61.8,18.0,72.0,8.0,1010.0,0,0,1,0
2,0,5,2,12.0,0,70.7,47.7,0.8,57.9,18.0,67.0,8.0,1015.0,0,0,0,0
3,0,5,2,16.0,0,66.4,44.1,0.8,75.9,19.0,58.0,9.0,1017.0,0,0,0,0
4,0,5,2,18.0,0,62.7,45.3,0.8,81.1,20.0,55.0,7.0,1015.0,0,0,0,0
5,1,5,2,14.0,0,35.3,25.9,0.7,86.7,21.0,62.0,10.0,1014.0,0,0,0,0
6,1,5,2,16.0,0,35.5,25.6,0.7,92.5,21.0,64.0,6.0,1016.0,0,0,0,0
0,0,6,3,20.0,0,43.1,32.3,0.7,86.4,22.0,66.0,6.0,1018.0,0,0,1,0
1,0,6,3,13.0,0,35.6,28.3,0.7,81.5,24.0,53.0,6.0,1019.0,0,0,0,0
2,0,6,3,15.0,0,65.2,47.8,0.9,72.6,25.0,51.0,6.0,1020.0,0,0,0,0
3,0,6,3,26.0,1,93.2,74.6,1.0,88.3,27.0,55.0,5.0,1021.0,0,0,0,0
4,0,6,3,22.0,0,78.1,65.1,1.0,105.2,28.0,54.0,6.0,1020.0,0,0,0,0
5,1,6,3,26.0,1,58.0,47.1,0.9,81.6,28.0,53.0,8.0,1020.0,0,0,0,0
2,0,6,3,20.0,0,66.9,47.1,0.9,115.7,23.0,70.0,8.0,1018.0,0,0,1,0
3,0,6,3,23.0,0,78.6,60.8,1.0,77.1,25.0,61.0,6.0,1017.0,0,0,0,0
4,0,6,3,25.0,1,74.1,56.4,1.0,71.0,24.0,62.0,7.0,1015.0,0,0,1,0
5,1,6,3,26.0,1,57.2,41.4,0.9,53.6,23.0,79.0,7.0,1014.0,0,0,1,0
6,1,6,3,13.0,0,53.6,37.6,0.8,39.2,20.0,91.0,8.0,1010.0,0,0,1,0
0,0,6,3,12.0,0,52.4,35.9,0.9,56.5,21.0,81.0,7.0,1012.0,0,0,1,0
1,0,6,3,4.0,0,64.8,45.1,0.9,43.8,20.0,87.0,8.0,1015.0,0,0,1,0
2,0,6,3,9.0,0,65.1,44.3,0.8,59.5,21.0,74.0,8.0,1015.0,0,0,1,0
3,0,6,3,18.0,0,72.4,49.7,0.9,74.4,22.0,64.0,7.0,1015.0,0,0,0,0
4,0,6,3,25.0,1,69.4,51.9,0.9,81.2,23.0,60.0,7.0,1010.0,0,0,1,0
5,1,6,3,9.0,0,57.6,36.8,0.8,85.6,22.0,57.0,10.0,1013.0,0,0,0,0
6,1,6,3,11.0,0,37.6,27.8,0.7,85.9,21.0,58.0,7.0,1016.0,0,0,0,0
0,0,6,3,13.0,0,69.7,49.0,0.8,72.1,21.0,60.0,8.0,1015.0,0,0,1,0
1,0,6,3,12.0,0,66.0,45.8,0.9,55.1,24.0,55.0,8.0,1007.0,0,0,1,0
2,0,6,3,4.0,0,53.9,34.7,0.8,77.1,20.0,53.0,13.0,1018.0,0,0,0,0
3,0,6,3,7.0,0,65.0,44.4,0.8,76.4,22.0,50.0,8.0,1021.0,0,0,0,0
4,0,6,3,14.0,0,66.8,51.4,0.9,91.2,23.0,55.0,6.0,1019.0,0,0,0,0
5,1,6,3,15.0,0,52.0,41.8,0.8,113.5,25.0,54.0,6.0,1016.0,0,0,0,0
0,0,6,3,10.0,0,62.9,45.3,0.9,93.5,25.0,52.0,9.0,1019.0,0,0,0,0
1,0,6,3,12.0,0,66.4,46.4,0.9,92.4,26.0,50.0,9.0,1020.0,0,0,0,0
2,0,7,3,20.0,0,66.4,49.7,0.9,103.8,27.0,51.0,7.0,1020.0,0,0,0,0
3,0,7,3,18.0,0,61.6,48.4,0.9,101.3,28.0,50.0,7.0,1021.0,0,0,1,0
4,0,7,3,17.0,0,62.9,49.0,0.9,107.0,29.0,50.0,9.0,1024.0,0,0,1,0
5,1,7,3,17.0,0,48.3,36.0,0.8,104.9,28.0,54.0,7.0,1022.0,0,0,1,0
6,1,7,3,19.0,0,39.4,31.5,0.8,118.0,30.0,58.0,6.0,1018.0,0,0,0,0
0,0,7,3,25.0,1,66.7,49.3,1.0,84.1,30.0,58.0,6.0,1017.0,0,0,0,0
1,0,7,3,26.0,1,54.4,41.1,1.0,89.3,31.0,57.0,8.0,1015.0,0,0,0,0
3,0,7,3,10.0,0,59.2,40.5,0.9,71.8,27.0,54.0,13.0,1011.0,0,0,0,0
4,0,7,3,6.0,0,55.1,38.2,0.8,84.2,25.0,46.0,9.0,1018.0,0,0,0,0
5,1,7,3,11.0,0,47.0,36.0,0.8,106.2,26.0,48.0,7.0,1017.0,0,0,0,0
0,0,7,3,16.0,0,56.7,44.9,1.0,84.8,28.0,54.0,9.0,1012.0,0,0,0,0
1,0,7,3,14.0,0,58.0,44.0,1.0,103.8,28.0,55.0,8.0,1015.0,0,0,0,0
2,0,7,3,20.0,0,67.6,52.0,1.0,107.6,29.0,55.0,8.0,1016.0,0,0,0,0
3,0,7,3,19.0,0,59.7,45.4,0.9,100.1,30.0,55.0,9.0,1017.0,0,0,0,0
4,0,7,3,13.0,0,56.8,43.1,0.9,86.0,30.0,43.0,7.0,1017.0,0,0,0,0
5,1,7,3,13.0,0,48.7,38.5,0.8,92.7,30.0,49.0,7.0,1016.0,0,0,0,0
6,1,7,3,12.0,0,37.9,26.4,0.7,78.4,29.0,53.0,9.0,1013.0,0,0,0,0
0,0,7,3,15.0,0,43.7,32.1,0.8,75.7,30.0,53.0,8.0,1012.0,0,0,0,0
1,0,7,3,18.0,0,60.1,46.3,0.9,79.9,30.0,48.0,6.0,1013.0,0,0,0,0
2,0,7,3,20.0,0,72.4,57.3,0.9,108.3,31.0,50.0,7.0,1013.0,0,0,0,0
4,0,7,3,5.0,0,51.8,31.5,0.8,83.3,24.0,53.0,15.0,1013.0,0,0,1,0
5,1,8,3,8.0,0,49.6,34.8,0.8,59.8,20.0,73.0,8.0,1015.0,0,0,1,0
6,1,8,3,13.0,0,33.8,24.4,0.8,70.6,23.0,70.0,6.0,1016.0,0,0,0,0
0,0,8,3,17.0,0,57.1,43.6,1.0,92.8,26.0,63.0,6.0,1017.0,0,0,0,0
1,0,8,3,19.0,0,58.7,46.7,1.0,97.8,27.0,62.0,6.0,1014.0,0,0,0,0
2,0,8,3,18.0,0,56.8,43.4,1.0,102.4,28.0,60.0,6.0,1015.0,0,0,0,0
3,0,8,3,19.0,0,60.5,49.0,1.0,105.5,30.0,53.0,6.0,1015.0,0,0,0,0
4,0,8,3,24.0,0,55.9,47.1,0.9,109.0,30.0,51.0,7.0,1015.0,0,0,0,0
5,1,8,3,22.0,0,45.5,36.8,0.8,104.6,30.0,49.0,8.0,1016.0,0,0,0,0
6,1,8,3,7.0,0,32.8,25.3,0.8,92.1,28.0,53.0,9.0,1015.0,0,0,1,0
0,0,8,3,20.0,0,37.3,27.8,0.8,62.7,22.0,83.0,10.0,1014.0,0,0,1,0
1,0,8,3,14.0,0,45.1,34.5,0.9,64.0,26.0,64.0,7.0,1014.0,0,0,0,0
2,0,8,3,29.0,1,51.1,42.7,0.9,78.9,28.0,54.0,7.0,1016.0,0,0,0,0
3,0,8,3,28.0,1,51.6,43.9,0.9,101.2,29.0,51.0,5.0,1014.0,0,0,0,0
4,0,8,3,24.0,0,47.2,37.1,0.9,75.5,25.0,62.0,6.0,1010.0,0,0,1,0
5,1,8,3,11.0,0,32.9,23.6,0.8,48.5,22.0,75.0,6.0,1008.0,0,0,1,0
6,1,8,3,8.0,0,23.9,16.6,0.7,57.9,20.0,77.0,9.0,1009.0,0,0,1,0
0,0,8,3,8.0,0,31.7,23.2,0.7,62.0,23.0,64.0,8.0,1008.0,0,0,1,0
1,0,8,3,7.0,0,35.7,24.4,0.7,66.7,22.0,73.0,7.0,1011.0,0,0,1,0
2,0,8,3,8.0,0,38.6,25.0,0.6,68.1,21.0,73.0,7.0,1014.0,0,0,0,0
3,0,8,3,10.0,0,38.7,28.3,0.7,64.0,23.0,64.0,6.0,1018.0,0,0,0,0
4,0,8,3,10.0,0,38.4,26.5,0.7,72.8,22.0,66.0,9.0,1021.0,0,0,1,0
5,1,8,3,13.0,0,34.8,24.3,0.6,79.6,23.0,56.0,7.0,1018.0,0,0,0,0
6,1,8,3,14.0,0,34.7,24.2,0.7,73.0,20.0,68.0,10.0,1014.0,0,0,1,0
0,0,8,3,23.0,0,47.5,32.1,0.7,39.1,19.0,90.0,8.0,1012.0,0,0,1,0
1,0,8,3,17.0,0,39.4,27.0,0.8,47.7,22.0,80.0,6.0,1014.0,1,0,0,0
2,0,8,3,17.0,0,55.1,37.5,0.8,54.4,23.0,71.0,5.0,1018.0,0,0,0,0
3,0,8,3,18.0,0,58.7,46.4,0.9,66.0,24.0,66.0,5.0,1017.0,0,0,0,0
4,0,8,3,17.0,0,60.6,49.9,0.9,67.8,25.0,64.0,6.0,1019.0,0,0,0,0
5,1,8,3,21.0,0,59.1,48.9,0.9,82.2,27.0,64.0,5.0,1021.0,0,0,0,0
6,1,8,3,18.0,0,49.9,42.9,0.9,78.2,27.0,61.0,5.0,1020.0,0,0,0,0
0,0,8,3,14.0,0,73.0,57.2,0.9,62.7,26.0,52.0,5.0,1017.0,0,0,0,0
1,0,9,4,16.0,0,63.2,48.0,0.9,72.3,25.0,54.0,6.0,1013.0,0,0,1,0
2,0,9,4,15.0,0,57.4,42.3,0.9,62.6,24.0,65.0,6.0,1011.0,0,0,1,0
3,0,9,4,8.0,0,61.6,42.5,0.9,58.7,23.0,62.0,6.0,1011.0,0,0,1,0
4,0,9,4,7.0,0,58.7,41.8,0.8,66.5,22.0,63.0,6.0,1012.0,0,0,0,0
5,1,9,4,6.0,0,61.7,40.6,0.7,64.5,20.0,62.0,10.0,1011.0,0,0,1,0
6,1,9,4,6.0,0,54.1,39.1,0.7,62.8,18.0,55.0,6.0,1017.0,0,0,0,0
0,0,9,4,11.0,0,78.5,55.4,0.8,49.7,19.0,54.0,6.0,1019.0,0,0,0,0
1,0,9,4,10.0,0,78.3,51.3,0.8,51.6,20.0,55.0,8.0,1020.0,0,0,0,0
2,0,9,4,11.0,0,86.4,55.2,0.8,51.0,19.0,53.0,8.0,1017.0,0,0,0,0
3,0,9,4,14.0,0,73.4,46.2,0.8,57.9,19.0,48.0,8.0,1017.0,0,0,0,0
4,0,9,4,14.0,0,75.6,46.5,0.8,59.9,19.0,60.0,7.0,1019.0,0,0,1,0
5,1,9,4,22.0,0,65.7,49.0,0.8,48.6,21.0,61.0,4.0,1021.0,0,0,0,0
6,1,9,4,20.0,0,50.0,34.4,0.8,45.3,19.0,81.0,8.0,1016.0,0,0,1,0
0,0,9,4,15.0,0,67.4,43.9,1.0,40.9,20.0,85.0,10.0,1008.0,0,0,1,0
1,0,9,4,13.0,0,87.0,54.4,1.0,29.9,21.0,66.0,6.0,1011.0,0,0,0,0
2,0,9,4,12.0,0,124.6,64.4,1.1,10.5,20.0,82.0,5.0,1010.0,0,0,1,0
5,1,9,4,18.0,0,67.6,43.1,0.9,45.8,20.0,62.0,7.0,1016.0,0,0,0,0
6,1,9,4,10.0,0,52.5,38.4,0.8,47.8,20.0,58.0,7.0,1015.0,0,0,0,0
0,0,9,4,17.0,0,93.0,61.3,1.0,41.6,19.0,64.0,5.0,1015.0,0,0,0,0
1,0,9,4,17.0,0,93.0,56.5,1.0,43.4,18.0,62.0,9.0,1010.0,0,0,0,0
2,0,9,4,9.0,0,100.1,55.8,0.9,34.6,14.0,80.0,16.0,1006.0,0,0,1,0
3,0,9,4,11.0,0,130.3,65.9,1.0,20.4,15.0,72.0,5.0,1013.0,1,0,0,0
4,0,9,4,12.0,0,146.6,78.9,1.1,18.0,18.0,66.0,5.0,1014.0,1,0,0,0
5,1,9,4,16.0,0,102.4,62.0,1.0,40.4,19.0,64.0,7.0,1017.0,0,0,0,0
6,1,9,4,12.0,0,70.1,39.8,0.8,40.5,18.0,71.0,10.0,1022.0,0,0,0,0
0,0,9,4,9.0,0,79.5,43.6,0.9,38.0,17.0,55.0,10.0,1026.0,0,0,0,0
1,0,9,4,10.0,0,80.9,48.7,0.9,33.6,16.0,54.0,6.0,1027.0,0,0,0,0
2,0,9,4,17.0,0,82.6,50.5,1.0,38.1,15.0,55.0,8.0,1027.0,0,0,0,0
3,0,10,4,11.0,0,75.3,44.9,1.0,28.2,14.0,59.0,5.0,1027.0,0,0,1,0
4,0,10,4,17.0,0,125.9,61.2,1.2,7.9,14.0,75.0,6.0,1024.0,0,0,1,0
5,1,10,4,19.0,0,85.3,46.8,1.1,11.8,15.0,89.0,6.0,1021.0,0,0,1,0
6,1,10,4,20.0,0,59.4,39.5,1.1,31.3,17.0,88.0,9.0,1018.0,0,0,1,0
0,0,10,4,18.0,0,96.2,55.6,1.2,21.7,17.0,81.0,4.0,1016.0,1,0,0,0
1,0,10,4,26.0,1,96.5,60.8,1.2,16.9,16.0,92.0,5.0,1012.0,0,0,1,1
2,0,10,4,28.0,1,96.2,53.8,1.3,18.6,17.0,85.0,7.0,1010.0,1,0,0,0
